article_id,apa,sort_key,year,journal,hypotheses
Aggarwal2012,"Aggarwal, R., Cao, J., & Chen, F. (2012). Information Environment, Dividend Changes, and Signaling: Evidence from ADR Firms. *Contemporary Accounting Research*, *29*(2), 403–431.","aggarwal, r., cao, j., & chen, f.2012",2012,Contemporary Accounting Research,3
Ahearne2016,"Ahearne, M. J., Boichuk, J. P., Chapman, C. J., & Steenburgh, T. J. (2016). Real Earnings Management in Sales. *Journal of Accounting Research*, *54*(5), 1233–1266.","ahearne, m. j., boichuk, j. p., chapman, c. j., & steenburgh, t. j.2016",2016,Journal of Accounting Research,3
Ahmed2013,"Ahmed, A. S., Neel, M., & Wang, D. (2013). Does Mandatory Adoption of IFRS Improve Accounting Quality? Preliminary Evidence. *Contemporary Accounting Research*, *30*(4), 1344–1372.","ahmed, a. s., neel, m., & wang, d.2013",2013,Contemporary Accounting Research,1
Akins2017,"Akins, B., Dou, Y., & Ng, J. (2017). Corruption in bank lending: The role of timely loan loss recognition. *Journal of Accounting and Economics*, *63*(2-3), 454–478.","akins, b., dou, y., & ng, j.2017",2017,Journal of Accounting and Economics,3
Alford1993,"Alford, A., Jones, J., Leftwich, R., & Zmijewski, M. (1993). The Relative Informativeness of Accounting Disclosures in Different Countries. *Journal of Accounting Research*, *31*, 183.","alford, a., jones, j., leftwich, r., & zmijewski, m.1993",1993,Journal of Accounting Research,3
Amir1993a,"Amir, E., Harris, T. S., & Venuti, E. K. (1993). A Comparison of the Value-Relevance of U.S. Versus Non-U.S. GAAP Accounting Measures Using Form 20-F Reconciliations. *Journal of Accounting Research*, *31*, 230–264.","amir, e., harris, t. s., & venuti, e. k.1993",1993,Journal of Accounting Research,1
Amiram2016,"Amiram, D., & Frank, M. M. (2016). Foreign portfolio investment and shareholder dividend taxes. *The Accounting Review*, *91*(3), 717–740.","amiram, d., & frank, m. m.2016",2016,The Accounting Review,1
Amiram2019,"Amiram, D., Bauer, A. M., & Frank, M. M. (2019). Tax avoidance at public corporations driven by shareholder taxes: Evidence from changes in dividend tax policy. *The Accounting Review*, *94*(5), 27–55.","amiram, d., bauer, a. m., & frank, m. m.2019",2019,The Accounting Review,1
Andries2017,"Andries, K., Gallemore, J., & Jacob, M. (2017). The effect of corporate taxation on bank transparency: Evidence from loan loss provisions. *Journal of Accounting and Economics*, *63*(2-3), 307–328.","andries, k., gallemore, j., & jacob, m.2017",2017,Journal of Accounting and Economics,7
Aobdia2017,"Aobdia, D., & Shroff, N. (2017). Regulatory oversight and auditor market share. *Journal of Accounting and Economics*, *63*(2-3), 262–287.","aobdia, d., & shroff, n.2017",2017,Journal of Accounting and Economics,1
