article_id,citation,authors,year,journal,title,doi,source,target
Aggarwal2012,Aggarwal et al. (2012),"Aggarwal, Raj; Cao, Jian; Chen, Feng",2012,Contemporary Accounting Research,"Information Environment, Dividend Changes, and Signaling: Evidence from ADR Firms",https://doi.org/10.1111/j.1911-3846.2011.01101.x,Information environment,Dividend changes
Aggarwal2012,Aggarwal et al. (2012),"Aggarwal, Raj; Cao, Jian; Chen, Feng",2012,Contemporary Accounting Research,"Information Environment, Dividend Changes, and Signaling: Evidence from ADR Firms",https://doi.org/10.1111/j.1911-3846.2011.01101.x,Dividend changes,Dividend informativeness
Aggarwal2012,Aggarwal et al. (2012),"Aggarwal, Raj; Cao, Jian; Chen, Feng",2012,Contemporary Accounting Research,"Information Environment, Dividend Changes, and Signaling: Evidence from ADR Firms",https://doi.org/10.1111/j.1911-3846.2011.01101.x,Information environment,Dividend informativeness
Ahearne2016,Ahearne et al. (2016),"Ahearne, Michael J.; Boichuk, Jeffrey P.; Chapman, Craig J.; Steenburgh, Thomas J.",2016,Journal of Accounting Research,Real Earnings Management in Sales,https://doi.org/10.1111/1475-679X.12134,Cash-flow incentives for sales,Real earnings management
Ahearne2016,Ahearne et al. (2016),"Ahearne, Michael J.; Boichuk, Jeffrey P.; Chapman, Craig J.; Steenburgh, Thomas J.",2016,Journal of Accounting Research,Real Earnings Management in Sales,https://doi.org/10.1111/1475-679X.12134,Interfunctional power,Real earnings management
Ahearne2016,Ahearne et al. (2016),"Ahearne, Michael J.; Boichuk, Jeffrey P.; Chapman, Craig J.; Steenburgh, Thomas J.",2016,Journal of Accounting Research,Real Earnings Management in Sales,https://doi.org/10.1111/1475-679X.12134,Real earnings management,Sales leaders' anticipatory actions
Ahmed2013,Ahmed et al. (2013),"Ahmed, Anwer S.; Neel, Michael; Wang, Dechun",2013,Contemporary Accounting Research,Does Mandatory Adoption of IFRS Improve Accounting Quality? Preliminary Evidence,https://doi.org/10.1111/j.1911-3846.2012.01193.x,Mandatory IFRS adoption,Accounting quality
Akins2017,Akins et al. (2017),"Akins, Brian; Dou, Yiwei; Ng, Jeffrey",2017,Journal of Accounting and Economics,Corruption in bank lending: The role of timely loan loss recognition,https://doi.org/10.1016/j.jacceco.2016.08.003,Timely loan loss recognition,Bank lending corruption
Akins2017,Akins et al. (2017),"Akins, Brian; Dou, Yiwei; Ng, Jeffrey",2017,Journal of Accounting and Economics,Corruption in bank lending: The role of timely loan loss recognition,https://doi.org/10.1016/j.jacceco.2016.08.003,Government ownership,Bank lending corruption
Akins2017,Akins et al. (2017),"Akins, Brian; Dou, Yiwei; Ng, Jeffrey",2017,Journal of Accounting and Economics,Corruption in bank lending: The role of timely loan loss recognition,https://doi.org/10.1016/j.jacceco.2016.08.003,Bank system deposit insurance,Bank lending corruption
Alford1993,Alford et al. (1993),"Alford, Andrew; Jones, Jennifer; Leftwich, Richard; Zmijewski, Mark",1993,Journal of Accounting Research,The Relative Informativeness of Accounting Disclosures in Different Countries,https://doi.org/10.2307/2491170,Accounting standards differences,Earnings informativeness
Alford1993,Alford et al. (1993),"Alford, Andrew; Jones, Jennifer; Leftwich, Richard; Zmijewski, Mark",1993,Journal of Accounting Research,The Relative Informativeness of Accounting Disclosures in Different Countries,https://doi.org/10.2307/2491170,Disclosure practices,Earnings informativeness
