node,category,external,in_degree,out_degree,degree,hypotheses_as_iv,hypotheses_as_dv,stream
Information environment,Market Participants & Information Environment,False,0,3,3,3,0,5. Investment decisions and audit oversight
Dividend changes,Tax & Financial Planning,False,1,1,2,1,1,5. Investment decisions and audit oversight
Dividend informativeness,Market Characteristics & Outcomes,False,2,0,2,0,2,5. Investment decisions and audit oversight
Investment decisions,Tax & Financial Planning,False,8,0,8,0,8,5. Investment decisions and audit oversight
Cash-flow incentives for sales,Corporate Governance & Control,False,0,1,1,1,0,9. Legal regime and earnings management
Real earnings management,Corporate Governance & Control,False,5,1,6,1,5,9. Legal regime and earnings management
Sales leaders' anticipatory actions,Corporate Governance & Control,False,1,0,1,0,1,9. Legal regime and earnings management
Interfunctional power,Corporate Governance & Control,False,0,1,1,1,0,9. Legal regime and earnings management
Mandatory IFRS adoption,Financial Reporting & Disclosure,False,1,45,46,52,1,1. IFRS adoption and market liquidity
Accounting quality,Financial Reporting & Disclosure,False,3,1,4,1,3,5. Investment decisions and audit oversight
Market reaction,Market Characteristics & Outcomes,False,11,0,11,0,11,Smaller community
Debt covenants,Tax & Financial Planning,False,3,0,3,0,3,8. Earnings management and enforcement
Risk disclosure compliance,Financial Reporting & Disclosure,False,1,0,1,0,1,1. IFRS adoption and market liquidity
Analyst information environment,Market Participants & Information Environment,False,3,0,3,0,3,1. IFRS adoption and market liquidity
Financial reporting comparability,Financial Reporting & Disclosure,False,11,5,16,5,11,2. Analyst forecasts and reporting quality
Investment efficiency,Tax & Financial Planning,False,5,0,5,0,5,Smaller community
Cross-listing propensity,International Business & Cross-border Activities,False,1,0,1,0,1,1. IFRS adoption and market liquidity
Cross-listing number of foreign countries,International Business & Cross-border Activities,False,1,0,1,0,1,1. IFRS adoption and market liquidity
Cross-listing venue,International Business & Cross-border Activities,False,2,0,2,0,2,1. IFRS adoption and market liquidity
Trading volume,Market Characteristics & Outcomes,False,5,0,5,0,6,Smaller community
Market liquidity,Market Characteristics & Outcomes,False,15,3,18,3,20,1. IFRS adoption and market liquidity
Information asymmetry,Market Participants & Information Environment,False,2,0,2,0,2,1. IFRS adoption and market liquidity
Cost of equity,Tax & Financial Planning,False,23,0,23,0,27,12. Cost of equity and legal environment
Income shifting,Tax & Financial Planning,False,12,1,13,1,13,3. Tax avoidance and investor protection
Financial integration,Market Characteristics & Outcomes,False,1,0,1,0,1,1. IFRS adoption and market liquidity
Information frictions,Communication,True,1,0,1,0,1,1. IFRS adoption and market liquidity
Debt financing,Tax & Financial Planning,False,1,0,1,0,1,1. IFRS adoption and market liquidity
Institutional investors' demand for equity,Market Participants & Information Environment,False,1,0,1,0,1,1. IFRS adoption and market liquidity
Revenue and expense matching,Financial Reporting & Disclosure,False,6,0,6,0,6,3. Tax avoidance and investor protection
Share voting premium,Market Participants & Information Environment,False,1,0,1,0,1,1. IFRS adoption and market liquidity
IPO underpricing,Market Characteristics & Outcomes,False,3,0,3,0,3,11. Voluntary disclosure and regulation
IPO proceeds from foreign markets,Market Characteristics & Outcomes,False,1,0,1,0,1,1. IFRS adoption and market liquidity
Analyst forecast accuracy,Market Participants & Information Environment,False,31,1,32,1,34,2. Analyst forecasts and reporting quality
Audit fees,Audit & Assurance,False,11,0,11,0,11,8. Earnings management and enforcement
Earnings announcement informativeness,Financial Reporting & Disclosure,False,7,0,7,0,7,6. Standards differences and disclosure informativeness
Textual disclosure quantity,Financial Reporting & Disclosure,False,3,3,6,3,3,1. IFRS adoption and market liquidity
Textual disclosure comparability,Financial Reporting & Disclosure,False,3,3,6,3,3,1. IFRS adoption and market liquidity
Textual disclosure standardization,Communication,True,3,3,6,3,3,1. IFRS adoption and market liquidity
Textual disclosure readability,Communication,True,3,3,6,3,3,1. IFRS adoption and market liquidity
Analyst following,Market Participants & Information Environment,False,8,3,11,4,8,1. IFRS adoption and market liquidity
Institutional ownership,Market Participants & Information Environment,False,9,1,10,1,9,1. IFRS adoption and market liquidity
Disclosure quality,Financial Reporting & Disclosure,False,1,2,3,2,1,1. IFRS adoption and market liquidity
Voluntary disclosure,Financial Reporting & Disclosure,False,9,3,12,3,9,11. Voluntary disclosure and regulation
Trade credit,Business Financial,False,1,0,1,0,1,1. IFRS adoption and market liquidity
Capital investment,Tax & Financial Planning,False,7,0,7,0,7,4. Firm performance and investment
Completion of M&A deals,Business Non-financial,False,3,0,3,0,3,4. Firm performance and investment
Valuation,Market Characteristics & Outcomes,False,6,2,8,2,6,2. Analyst forecasts and reporting quality
Analyst forecast dispersion,Market Participants & Information Environment,False,6,0,6,0,6,2. Analyst forecasts and reporting quality
Executive compensation,Corporate Governance & Control,False,5,0,5,0,5,6. Standards differences and disclosure informativeness
Equity issuance likelihood,Tax & Financial Planning,False,2,0,2,0,2,8. Earnings management and enforcement
Equity issuance size,Tax & Financial Planning,False,2,0,2,0,2,8. Earnings management and enforcement
CEO turnover,Corporate Governance & Control,False,7,0,7,0,7,Smaller community
Information comparability,Market Participants & Information Environment,False,1,0,1,0,1,1. IFRS adoption and market liquidity
World Bank lending,Political Science,True,4,0,4,0,4,5. Investment decisions and audit oversight
Timely loan loss recognition,Financial Reporting & Disclosure,False,3,1,4,1,3,13. Bank risk-taking and state ownership
Bank lending corruption,Banking & Financial Institutions,False,3,0,3,0,3,13. Bank risk-taking and state ownership
Government ownership,Political Science,True,0,4,4,4,0,13. Bank risk-taking and state ownership
Auditor choice,Audit & Assurance,False,9,7,16,8,9,10. Auditor choice and earnings quality
Bank system deposit insurance,Banking & Financial Institutions,False,0,1,1,1,0,13. Bank risk-taking and state ownership
Accounting standards differences,Financial Reporting & Disclosure,False,0,10,10,10,0,6. Standards differences and disclosure informativeness
Earnings informativeness,Market Characteristics & Outcomes,False,3,0,3,0,3,6. Standards differences and disclosure informativeness
Foreign analyst following,Market Participants & Information Environment,False,1,0,1,0,1,6. Standards differences and disclosure informativeness
Foreign analyst forecast accuracy,Market Participants & Information Environment,False,1,0,1,0,1,6. Standards differences and disclosure informativeness
Stock returns,Market Characteristics & Outcomes,False,15,0,15,0,16,4. Firm performance and investment
